"Role Name","Home Page","Restrict To Domain","Disabled","Desk Access","Two Factor Authentication","Search Bar","Notifications","Chat","Sidebar","Bulk Actions","View Switcher","form_sidebar","Timeline","Dashboard","Is Custom"
"Accounts Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Accounts User","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Purchase User","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Sales User","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Newsletter Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Knowledge Base Contributor","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Knowledge Base Editor","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Blogger","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Report Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Script Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Website Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"System Manager","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"Guest","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Administrator","","",0,1,0,1,1,1,1,1,1,1,1,1,0
"All","","",0,1,0,1,1,1,1,1,1,1,1,1,0
