"Holiday List Name","From Date","To Date","Total Holidays","Weekly Off","Color","ID (Holidays)","Date (Holidays)","Weekly Off (Holidays)","Description (Holidays)"
"","","","","","","9c447c9168","2020-10-18",0,"Sunday"
"","","","","","","25a9aaa78c","2020-10-25",0,"Sunday"
"","","","","","","523ca8394c","2020-11-01",0,"Sunday"
"","","","","","","4460f1fddc","2020-11-08",0,"Sunday"
"","","","","","","052e8d053d","2020-11-15",0,"Sunday"
"","","","","","","dc5ae83970","2020-11-22",0,"Sunday"
"","","","","","","d1c841a7ec","2020-11-29",0,"Sunday"
"","","","","","","174bad80ba","2020-12-06",0,"Sunday"
"","","","","","","ac2761892e","2020-12-13",0,"Sunday"
"","","","","","","c6d504a570","2020-12-20",0,"Sunday"
"","","","","","","8dd4a3aa38","2020-12-27",0,"Sunday"
